,Liga,Teamname,Reputation (aus Spielerwerten)
0,NBA,Los Angeles Lakers,83.25195571428571
1,NBA,Milwaukee Bucks,82.40232
2,NBA,Golden State Warriors,82.22904571428572
3,NBA,Brooklyn Nets,82.00701428571429
4,NBA,Chicago Bulls,81.88133285714287
5,NBA,Philadelphia 76ers,81.77699857142856
6,NBA,Los Angeles Clippers,81.20500714285716
7,NBA,Miami Heat,81.06321428571428
8,NBA,Boston Celtics,80.74267428571429
9,NBA,Phoenix Suns,80.43251714285714
10,NBA,Denver Nuggets,80.36098142857142
11,NBA,Atlanta Hawks,80.25856428571429
12,,,79.94285714285715
13,NBA,Dallas Mavericks,79.91738428571429
14,NBA,New Orleans Pelicans,79.82780571428572
15,NBA,Minnesota Timberwolves,79.08951285714286
16,NBA,Portland Trail Blazers,78.70046142857143
17,NBA,New York Knicks,78.55303714285715
18,NBA,Cleveland Cavaliers,78.49950714285714
19,NBA,Washington Wizards,78.4317757142857
20,NBA,Memphis Grizzlies,78.3549642857143
21,NBA,Sacramento Kings,78.23673857142857
22,NBA,Charlotte Hornets,78.14756714285714
23,Turkish Airlines EuroLeague,Anadolu Efes ,78.0221957142857
29,Turkish Airlines EuroLeague,EA7 Emporio Armani Milano,77.86609
34,NBA,Toronto Raptors,77.71411857142857
35,NBA,Utah Jazz,77.60273714285714
36,Greek Basketball SuperCup,Olympiacos BC,77.52314285714286
42,Türkiye Kupasi,Fenerbahçe Beko,77.48317428571428
48,Serie A UnipolSai,Virtus Segafredo Bologna,77.27081714285714
53,Liga Endesa,Barça,77.12314285714285
58,ABA League,KK Crvena Zvezda mts,77.02314285714286
63,Turkish Airlines EuroLeague,AS Monaco Basket,76.84957142857144
67,Turkish Airlines EuroLeague,Panathinaikos BC,76.74828571428571
73,NBA,Detroit Pistons,76.68083857142858
74,NBA,Indiana Pacers,76.39657714285713
75,NBA,Orlando Magic,76.19104857142857
76,Turkish Airlines EuroLeague,Real Madrid,76.11977142857143
81,Turkish Airlines EuroLeague,BC Zalgiris Kaunas,76.07295
86,NBA,Oklahoma City Thunder,75.68601142857143
87,Turkish Airlines EuroLeague,Maccabi Playtika Tel Aviv,75.40444285714285
93,Liga Endesa,Cazoo Baskonia,75.38168857142857
97,Liga Endesa,Gran Canaria ,75.2
101,NBA,Houston Rockets,74.82234285714286
102,NBA,San Antonio Spurs,74.81920142857143
103,7Days EuroCup,Umana Reyer Venezia,74.79114285714286
107,Turkish Airlines EuroLeague,FC Bayern München,74.74679714285715
112,Turkish Airlines EuroLeague,LDLC ASVEL Villeurbanne,74.74557142857142
116,Liga Endesa,Lenovo Tenerife,74.70542857142857
120,Liga Endesa,Valencia Basket,74.35714285714286
124,Türkiye Sigorta Basketbol Süper Ligi,Pinar Karsiyaka,74.33242999999999
127,Türkiye Kupasi,Galatasaray Nef,74.13637142857142
132,Liga Endesa,Unicaja,74.11890571428572
134,7Days EuroCup,Joventut Badalona,74.03459000000001
139,7Days EuroCup,Türk Telekom,73.95877857142857
143,ABA SuperCup,KK Partizan MozzartBet,73.76949857142857
148,Liga Endesa,Monbus Obradoiro,73.65771428571429
150,Serie A UnipolSai,Bertram Yachts Derthona,73.62271428571428
153,7Days EuroCup,London Lions,73.28607142857143
155,Türkiye Sigorta Basketbol Süper Ligi,Besiktas,73.16156857142857
157,easyCredit Bundesliga,ALBA Berlin,73.13160285714287
162,7Days EuroCup,Germani Brescia,73.09457142857143
166,ABA League,KK Cedevita Olimpija,72.74085714285714
171,Betclic Élite LNB,Metropolitans 92,72.59747857142858
173,,Fortitudo Bologna,72.57142857142857
174,Betclic Élite LNB,Paris Basketball,72.52200857142857
178,NCAA,UCLA Bruins,72.4857142857143
179,Betclic Élite LNB,SIG Strasbourg,72.39380428571428
181,Türkiye Kupasi,Bahçesehir Koleji,72.35299857142857
184,Türkiye Sigorta Basketbol Süper Ligi,Gaziantep Basketbol,72.30914285714286
187,Liga Endesa,Surne Bilbao Basket,72.30171428571428
189,ABA League,KK Buducnost VOLI,72.2737357142857
194,FIBA Champions League,Banco di Sardegna Sassari,72.26872285714285
199,Türkiye Sigorta Basketbol Süper Ligi,Frutti Extra Bursaspor,72.26572142857142
204,Türkiye Sigorta Basketbol Süper Ligi,Tofas,72.19457142857144
206,FIBA Champions League,Unahotels Reggio Emilia,72.06852
210,Greek Basketball Cup,AEK BC,71.96372571428572
215,Betsafe-LKL,Rytas Vilnius,71.95242857142857
220,NCAA,Florida State Seminoles,71.94285714285715
221,Liga Endesa,Casademont Zaragoza,71.90841571428571
223,State Cup,Bnei Ofek Dist Herzliya,71.90716428571429
227,Liga Endesa,Río Breogán,71.89113571428572
229,Liga Endesa,Bàsquet Girona,71.79753000000001
231,NCAA,Creighton Bluejays,71.78571428571429
232,State Cup,Hapoel Tel Aviv,71.73762142857143
237,Liga Endesa,Covirán Granada,71.67804142857143
239,Liga Endesa,Baxi Manresa,71.63633
243,7Days EuroCup,U-BT Cluj-Napoca,71.56379285714286
245,FIBA Champions League,Darüssafaka,71.53922857142857
250,DBB-Pokal,ratiopharm Ulm,71.47872571428572
255,Liga Endesa,Real Betis,71.35714285714286
258,Betclic Élite LNB,Le Mans Sarthe Basket,71.28519857142858
260,NBL,New Zealand Breakers,71.28232
262,DBB-Pokal,HAKRO Merlins Crailsheim,71.27251
265,easyCredit Bundesliga,Telekom Baskets Bonn,71.26722
270,Winner League BSL,Ironi Hai Motors Ness Ziona,71.25914571428572
273,Betsafe-LKL,BC Wolves,71.25185714285715
275,Türkiye Sigorta Basketbol Süper Ligi,Manisa Büyüksehir Belediyespor,71.22479571428572
277,,Vanoli Cremona,71.19698214285714
278,Liga Endesa,Carplus Fuenlabrada,71.13378142857144
280,Serie A UnipolSai,Dolomiti Energia Trento,71.09048571428572
284,FIBA Champions League,Peristeri BC,71.05196428571428
290,Türkiye Sigorta Basketbol Süper Ligi,Yukatel Merkezefendi,71.04662571428571
292,7Days EuroCup,BC Lietkabelis,70.98594285714286
297,Liga Endesa,UCAM Murcia,70.97949714285714
299,Winner League BSL,Hapoel Holon,70.95877142857142
305,,Semt77 Yalovaspor,70.95571428571427
306,easyCredit Bundesliga,Brose Bamberg,70.94723714285715
309,NCAA,Texas Longhorns,70.91428571428571
310,Stoiximan Basket League,Lavrio Megabolt,70.89111142857142
312,NBL,S.E. Melbourne Phoenix,70.86682285714286
314,Betclic Élite LNB,JL Bourg Basket,70.85617285714287
318,NBL,Perth Wildcats,70.83834285714286
320,NCAA,Kansas Jayhawks,70.81428571428572
321,State Cup,Hapoel B-Cure Laser Haifa,70.80728571428571
324,Winner League BSL,Ironi Kiryat Ata,70.79299999999999
326,Serie A UnipolSai,Happy Casa Brindisi,70.72072857142857
328,Türkiye Sigorta Basketbol Süper Ligi,Aliaga Petkim,70.70041857142857
330,7Days EuroCup,Prometey Slobozhanske,70.54828571428571
332,NCAA,Duke Blue Devils,70.54285714285714
333,NCAA,Michigan Wolverines,70.5
334,Türkiye Sigorta Basketbol Süper Ligi,AYOS Konyaspor,70.45876
336,NCAA,Baylor Bears,70.38705571428571
